step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
0,0,0,1,2,10.0,-1.2411552667617798,8.75884473323822,0.0,-0.03542235493659973
1,0,0,1,3,8.75884473323822,-0.9725067615509033,7.786337971687317,0.0,-0.0275303702801466
2,0,0,1,4,7.786337971687317,-0.9459078311920166,6.8404301404953,0.0,-0.025128277018666267
3,0,0,1,5,6.8404301404953,-0.9375566244125366,5.902873516082764,0.0,-0.0230958703905344
4,0,0,1,6,5.902873516082764,-0.9271945953369141,4.97567892074585,0.0,-0.021048255264759064
5,0,0,1,7,4.97567892074585,-0.9357953071594238,4.039883613586426,0.0,-0.019336896017193794
6,0,0,1,8,4.039883613586426,-0.985950231552124,3.0539333820343018,0.0,-0.018328845500946045
7,0,0,1,9,3.0539333820343018,-0.8433632850646973,2.2105700969696045,0.0,-0.014033756218850613
8,0,0,1,10,2.2105700969696045,-0.6070749759674072,1.6034951210021973,0.0,-0.009392390958964825
9,0,0,1,11,1.6034951210021973,-0.38515734672546387,1.2183377742767334,0.0,-0.006420137360692024
10,0,0,1,12,1.2183377742767334,-0.19286096096038818,1.0254768133163452,0.0,-0.004922907333821058
11,0,0,1,13,1.0254768133163452,-0.17891860008239746,1.0,0.0,-0.00482011865824461
12,0,0,1,14,1.0,-0.20149099826812744,1.0,0.0,-0.00490598613396287
13,0,0,1,15,1.0,-0.34573233127593994,1.0,0.0,-0.005695308558642864
14,0,0,1,16,1.0,-0.46920204162597656,1.0,0.0,-0.006701505742967129
15,0,0,1,17,1.0,-0.4354548454284668,1.0,0.0,-0.006396209355443716
16,0,0,1,18,1.0,-0.2609978914260864,1.0,0.0,-0.005181198939681053
17,0,0,1,19,1.0,-0.2281707525253296,1.0,0.0,-0.00502061890438199
18,0,0,1,20,1.0,-0.16327571868896484,1.0,0.0,-0.004766589496284723
19,0,0,2,1,1.0,-0.2233821153640747,1.0,0.0,-0.0049989959225058556
20,0,0,2,2,1.0,-0.06767487525939941,1.0,0.0,-0.0045457989908754826
21,0,0,2,3,1.0,-0.38541340827941895,1.0,0.0,-0.005985435098409653
22,0,0,2,4,1.0,-0.41293787956237793,1.0,0.0,-0.006205176934599876
23,0,0,2,5,1.0,-0.24632632732391357,1.0,0.0,-0.0051067667081952095
24,0,0,2,6,1.0,-0.1786191463470459,1.0,0.0,-0.004819048102945089
