step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
78,0,0,4,20,1.0,-0.22871458530426025,1.0,0.0,-0.004023103509098291
79,0,0,5,1,1.0,-0.24137461185455322,1.0,0.0,-0.00408261688426137
80,0,0,5,2,1.0,-0.16218435764312744,1.0,0.0,-0.003763037733733654
81,0,0,5,3,1.0,-0.09218549728393555,1.0,0.0,-0.0035849816631525755
82,0,0,5,4,1.0,-0.13583636283874512,1.0,0.0,-0.003684515133500099
83,0,0,5,5,1.0,-0.20227229595184326,1.0,0.0,-0.0039091408252716064
84,0,0,5,6,1.0,-0.2413640022277832,1.0,0.0,-0.004082565661519766
85,0,0,5,7,1.0,-0.17021429538726807,1.0,0.0,-0.0037897289730608463
86,0,0,5,8,1.0,-0.14796197414398193,1.0,0.0,-0.003718927502632141
87,0,0,5,9,1.0,-0.1124340295791626,1.0,0.0,-0.0036264141090214252
88,0,0,5,10,1.0,-0.03857421875,1.0,0.0,-0.0035148796159774065
89,0,0,5,11,1.0,-0.06258249282836914,1.0,0.0,-0.0035391657147556543
90,0,0,5,12,1.0,-0.13377583026885986,1.0,0.0,-0.003678959794342518
91,0,0,5,13,1.0,-0.14362108707427979,1.0,0.0,-0.003706270130351186
92,0,0,5,14,1.0,-0.11355888843536377,1.0,0.0,-0.003628956153988838
93,0,0,5,15,1.0,-0.1465930938720703,1.0,0.0,-0.0037148953415453434
94,0,0,5,16,1.0,-0.12926065921783447,1.0,0.0,-0.003667083103209734
95,0,0,5,17,1.0,-0.1444852352142334,1.0,0.0,-0.0037087597884237766
96,0,0,5,18,1.0,-0.11101925373077393,1.0,0.0,-0.003623252734541893
97,0,0,5,19,1.0,-0.20510375499725342,1.0,0.0,-0.0039206757210195065
98,0,0,5,20,1.0,-0.24579191207885742,1.0,0.0,-0.004104136489331722
99,0,0,6,1,1.0,-0.23464739322662354,1.0,0.0,-0.004050593823194504
100,0,0,6,2,1.0,-0.16187024116516113,1.0,0.0,-0.0037620197981595993
101,0,0,6,3,1.0,-0.08884966373443604,1.0,0.0,-0.003578942734748125
