envId,envName,formationType,formationName,count,mean,std,min,median,max
0,Perfect,0,Horizontal,2399,1.0127156960959234,0.25609325955304973,1.0,1.0,8.569713115692139
0,Perfect,1,Random-Matrix,2400,1.0,0.0,1.0,1.0,1.0
0,Perfect,2,Circular,2400,1.0014389010767142,0.01568423726863579,1.0,1.0,1.2923290729522705
1,Open,0,Horizontal,2400,11.201242945293586,0.8356173856659413,1.0,11.138774156570435,13.48542058467865
1,Open,1,Random-Matrix,2400,8.955133549273015,0.33807719554130367,7.784011721611023,8.957050919532776,11.390753269195557
1,Open,2,Circular,2400,9.569638956089815,0.37078705576056226,8.122559070587158,9.560193061828613,11.782288074493408
2,Suburban,0,Horizontal,2400,23.388665848573048,1.2041078279450235,9.234850406646729,23.49888920783997,25.97835493087769
2,Suburban,1,Random-Matrix,2400,15.350624770174424,0.5071129626052144,14.2863050699234,15.275014758110046,23.31745338439941
2,Suburban,2,Circular,2400,16.598281008551517,0.3244684397449186,15.412554860115051,16.607429206371307,18.202259063720703
3,DenseUrban,0,Horizontal,2400,39.39513159682353,1.5174547066813384,15.868914365768433,39.53738087415695,42.11714899539948
3,DenseUrban,1,Random-Matrix,2400,26.09419256637494,1.0444338576683556,24.67098557949066,25.988627552986145,40.38074827194214
3,DenseUrban,2,Circular,2401,25.57981020860104,0.5228879422027222,23.760186314582825,25.55785858631134,28.963268995285038
