step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
74,0,0,4,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
75,0,0,4,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
76,0,0,4,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
77,0,0,4,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
78,0,0,4,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
79,0,0,5,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
80,0,0,5,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
81,0,0,5,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
82,0,0,5,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
83,0,0,5,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
84,0,0,5,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
85,0,0,5,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
86,0,0,5,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
87,0,0,5,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
88,0,0,5,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
89,0,0,5,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
90,0,0,5,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
91,0,0,5,13,1.0,-1.9999998807907104,1.0,0.0,-0.04349999523162856
92,0,0,5,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
93,0,0,5,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
94,0,0,5,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
95,0,0,5,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
96,0,0,5,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
97,0,0,5,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
98,0,0,5,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
99,0,0,6,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
100,0,0,6,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
101,0,0,6,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
