envId,formationType,timeStep,receiverId,sigma_rssi_bar,sigma_gps_bar,snr_bar,plr_bar,relative_speed_bar,relative_height_bar,trusted_count,trust_bar,theta
0,0,1,1,520.559663112419,520.55966311242,Inf,1,0,3.21364808039565,16,0.999999999999997,10
0,0,1,2,516.239751717972,516.239751717972,Inf,1,0,4.32221631671215,16,0.999999999999998,10
0,0,1,3,512.994387366995,512.994387366995,Inf,1,0,4.85431290007986,16,0.999999999999999,10
0,0,1,4,510.830030613751,510.830030613751,Inf,1,0,4.80355371647245,16,0.999999999999998,10
0,0,1,5,489.077175968362,489.077175968362,Inf,1,0,4.2708430095795,16,0.999999999999998,10
0,0,1,6,436.534679904423,436.534679904423,Inf,1,0,3.71834464389443,16,0.999999999999999,10
0,0,1,7,368.100662159328,368.100662159328,Inf,1,0,3.47387546252638,16,0.999999999999999,10
0,0,1,8,297.107780226986,297.107780226986,Inf,1,0,3.7056143714343,16,0.999999999999999,10
0,0,1,9,233.874176196091,233.874176196091,Inf,1,0,4.35439417382098,16,0.999999999999998,10
0,0,1,10,184.722198235237,184.722198235237,Inf,1,0,5.1466077684938,16,0.999999999999999,10
0,0,1,11,152.762728908832,152.762728908833,Inf,1,0,5.664430100931,16,0.999999999999999,10
0,0,1,12,139.680683127699,139.680683127699,Inf,1,0,5.5014610588826,16,0.999999999999999,10
0,0,1,13,147.037441285925,147.037441285925,Inf,1,0,4.8069439767958,16,0.999999999999999,10
0,0,1,14,176.17199454978,176.17199454978,Inf,1,0,4.03227230485138,16,0.999999999999999,10
0,0,1,15,226.615376618697,226.615376618697,Inf,1,0,3.54394090342555,16,0.999999999999999,10
0,0,1,16,294.091066061276,294.091066061276,Inf,1,0,3.5271321361056,16,0.999999999999999,10
0,0,1,17,369.885897792411,369.885897792411,Inf,1,0,3.9394153109215,16,0.999999999999999,10
0,0,1,18,442.159776860333,442.159776860334,Inf,1,0,4.5245633933071,16,0.999999999999999,10
0,0,1,19,497.513715134811,497.513715134811,Inf,1,0,4.91931487817437,16,0.999999999999998,10
0,0,1,20,520.693169582337,520.693169582337,Inf,1,0,4.66901560254136,16,0.999999999999998,10
0,0,2,1,521.245458504125,521.245458504124,Inf,1,0.629074619550195,3.19570597932362,16,0.999999999999997,10
0,0,2,2,512.42889474028,512.42889474028,Inf,1,0.708464062247158,4.64748964005472,16,0.999999999999997,10
0,0,2,3,509.032480302702,509.032480302702,Inf,1,0.637902040208348,4.92691238372585,16,0.999999999999998,10
0,0,2,4,507.834308045827,507.834308045827,Inf,1,0.662131807112016,4.56220841827393,16,0.999999999999998,10
0,0,2,5,487.667260732401,487.667260732401,Inf,1,0.788777447920359,3.94424095347719,16,0.999999999999998,10
0,0,2,6,436.653440765846,436.653440765846,Inf,1,0.944545329224975,3.5117019690988,16,0.999999999999998,10
0,0,2,7,369.699894609614,369.699894609614,Inf,1,1.02947711301354,3.49810334502776,16,0.999999999999998,10
0,0,2,8,299.861058633916,299.861058633916,Inf,1,0.970813940109978,3.96018109183829,16,0.999999999999999,10
0,0,2,9,236.827547437444,236.827547437444,Inf,1,0.822278207255022,4.72613299151414,16,0.999999999999999,10
0,0,2,10,186.562624146537,186.562624146537,Inf,1,0.676640648446468,5.43834867924421,16,0.999999999999998,10
0,0,2,11,152.537155718075,152.537155718075,Inf,1,0.646927553439378,5.6472355618051,16,0.999999999999999,10
0,0,2,12,137.396983518945,137.396983518945,Inf,1,0.723910602777608,5.16149979293116,16,0.999999999999999,10
0,0,2,13,143.77607203409,143.77607203409,Inf,1,0.871357722868662,4.3730633924765,16,0.999999999999999,10
0,0,2,14,173.553057066041,173.553057066041,Inf,1,1.02317226475054,3.7053296151259,16,0.999999999999999,10
0,0,2,15,225.837327627743,225.837327627743,Inf,1,1.09091566999972,3.44343979869086,16,0.999999999999999,10
0,0,2,16,295.289945762711,295.289945762711,Inf,1,1.01255007204279,3.66088184502009,16,0.999999999999998,10
0,0,2,17,372.385038563586,372.385038563586,Inf,1,0.8578110788125,4.20281369819157,16,0.999999999999998,10
0,0,2,18,445.203715353894,445.203715353894,Inf,1,0.714132411022724,4.80036128942251,16,0.999999999999998,10
0,0,2,19,500.522447601763,500.522447601763,Inf,1,0.644830211705363,4.90085460782202,16,0.999999999999998,10
0,0,2,20,522.822266569947,522.822266569947,Inf,1,0.686180253314537,4.37418226011411,16,0.999999999999997,10
0,0,3,1,521.610916564206,521.610916564207,Inf,1,0.640773884939295,3.19049204728769,16,0.999999999999998,10
