step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
95,0,0,5,17,50.0,2.0,50.0,0.0,-0.0925
96,0,0,5,18,50.0,2.0,50.0,0.0,-0.0925
97,0,0,5,19,50.0,2.0,50.0,0.0,-0.0925
98,0,0,5,20,50.0,2.0,50.0,0.0,-0.0925
99,0,0,6,1,50.0,2.0,50.0,0.0,-0.0925
100,0,0,6,2,50.0,2.0,50.0,0.0,-0.0925
101,0,0,6,3,50.0,2.0,50.0,0.0,-0.0925
102,0,0,6,4,50.0,2.0,50.0,0.0,-0.0925
103,0,0,6,5,50.0,2.0,50.0,0.0,-0.0925
104,0,0,6,6,50.0,2.0,50.0,0.0,-0.0925
105,0,0,6,7,50.0,2.0,50.0,0.0,-0.0925
106,0,0,6,8,50.0,2.0,50.0,0.0,-0.0925
107,0,0,6,9,50.0,2.0,50.0,0.0,-0.0925
108,0,0,6,10,50.0,2.0,50.0,0.0,-0.0925
109,0,0,6,11,50.0,2.0,50.0,0.0,-0.0925
110,0,0,6,12,50.0,2.0,50.0,0.0,-0.0925
111,0,0,6,13,50.0,1.9999761581420898,50.0,0.0,-0.09249904633136793
112,0,0,6,14,50.0,1.9999992847442627,50.0,0.0,-0.09249997138977563
113,0,0,6,15,50.0,2.0,50.0,0.0,-0.0925
114,0,0,6,16,50.0,2.0,50.0,0.0,-0.0925
115,0,0,6,17,50.0,2.0,50.0,0.0,-0.0925
116,0,0,6,18,50.0,2.0,50.0,0.0,-0.0925
117,0,0,6,19,50.0,2.0,50.0,0.0,-0.0925
118,0,0,6,20,50.0,2.0,50.0,0.0,-0.0925
119,0,0,7,1,50.0,2.0,50.0,0.0,-0.0925
120,0,0,7,2,50.0,2.0,50.0,0.0,-0.0925
121,0,0,7,3,50.0,2.0,50.0,0.0,-0.0925
122,0,0,7,4,50.0,2.0,50.0,0.0,-0.0925
123,0,0,7,5,50.0,2.0,50.0,0.0,-0.0925
124,0,0,7,6,50.0,2.0,50.0,0.0,-0.0925
125,0,0,7,7,50.0,2.0,50.0,0.0,-0.0925
126,0,0,7,8,50.0,2.0,50.0,0.0,-0.0925
127,0,0,7,9,50.0,2.0,50.0,0.0,-0.0925
128,0,0,7,10,50.0,2.0,50.0,0.0,-0.0925
129,0,0,7,11,50.0,2.0,50.0,0.0,-0.0925
130,0,0,7,12,50.0,1.999999761581421,50.0,0.0,-0.09249999046325741
131,0,0,7,13,50.0,1.9999620914459229,50.0,0.0,-0.0924984836722075
132,0,0,7,14,50.0,1.9999995231628418,50.0,0.0,-0.09249998092651596
133,0,0,7,15,50.0,2.0,50.0,0.0,-0.0925
134,0,0,7,16,50.0,2.0,50.0,0.0,-0.0925
135,0,0,7,17,50.0,2.0,50.0,0.0,-0.0925
136,0,0,7,18,50.0,2.0,50.0,0.0,-0.0925
137,0,0,7,19,50.0,2.0,50.0,0.0,-0.0925
138,0,0,7,20,50.0,2.0,50.0,0.0,-0.0925
139,0,0,8,1,50.0,2.0,50.0,0.0,-0.0925
140,0,0,8,2,50.0,2.0,50.0,0.0,-0.0925
141,0,0,8,3,50.0,2.0,50.0,0.0,-0.0925
142,0,0,8,4,50.0,2.0,50.0,0.0,-0.0925
143,0,0,8,5,50.0,2.0,50.0,0.0,-0.0925
144,0,0,8,6,50.0,2.0,50.0,0.0,-0.0925
145,0,0,8,7,50.0,2.0,50.0,0.0,-0.0925
146,0,0,8,8,50.0,2.0,50.0,0.0,-0.0925
147,0,0,8,9,50.0,2.0,50.0,0.0,-0.0925
148,0,0,8,10,50.0,2.0,50.0,0.0,-0.0925
149,0,0,8,11,50.0,2.0,50.0,0.0,-0.0925
150,0,0,8,12,50.0,1.9999995231628418,50.0,0.0,-0.09249998092651596
151,0,0,8,13,50.0,1.9999639987945557,50.0,0.0,-0.0924985599647431
152,0,0,8,14,50.0,1.999999761581421,50.0,0.0,-0.09249999046325741
153,0,0,8,15,50.0,2.0,50.0,0.0,-0.0925
154,0,0,8,16,50.0,2.0,50.0,0.0,-0.0925
155,0,0,8,17,50.0,2.0,50.0,0.0,-0.0925
156,0,0,8,18,50.0,2.0,50.0,0.0,-0.0925
157,0,0,8,19,50.0,2.0,50.0,0.0,-0.0925
158,0,0,8,20,50.0,2.0,50.0,0.0,-0.0925
159,0,0,9,1,50.0,2.0,50.0,0.0,-0.0925
160,0,0,9,2,50.0,2.0,50.0,0.0,-0.0925
161,0,0,9,3,50.0,2.0,50.0,0.0,-0.0925
162,0,0,9,4,50.0,2.0,50.0,0.0,-0.0925
163,0,0,9,5,50.0,2.0,50.0,0.0,-0.0925
164,0,0,9,6,50.0,2.0,50.0,0.0,-0.0925
165,0,0,9,7,50.0,2.0,50.0,0.0,-0.0925
166,0,0,9,8,50.0,2.0,50.0,0.0,-0.0925
167,0,0,9,9,50.0,2.0,50.0,0.0,-0.0925
168,0,0,9,10,50.0,2.0,50.0,0.0,-0.0925
169,0,0,9,11,50.0,2.0,50.0,0.0,-0.0925
170,0,0,9,12,50.0,1.9999990463256836,50.0,0.0,-0.09249996185303644
171,0,0,9,13,50.0,1.9999792575836182,50.0,0.0,-0.0924991703076472
172,0,0,9,14,50.0,2.0,50.0,0.0,-0.0925
173,0,0,9,15,50.0,2.0,50.0,0.0,-0.0925
174,0,0,9,16,50.0,2.0,50.0,0.0,-0.0925
