step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
0,0,0,1,2,10.0,-0.7424240112304688,9.257575988769531,0.0,-0.022824056446552277
1,0,0,1,3,9.257575988769531,-0.592003583908081,8.66557240486145,0.0,-0.019869597628712654
2,0,0,1,4,8.66557240486145,-0.40585780143737793,8.259714603424072,0.0,-0.017362749204039574
3,0,0,1,5,8.259714603424072,-0.30825281143188477,7.9514617919921875,0.0,-0.016172537580132484
4,0,0,1,6,7.9514617919921875,-0.481677770614624,7.4697840213775635,0.0,-0.016771789640188217
5,0,0,1,7,7.4697840213775635,-0.7133705615997314,6.756413459777832,0.0,-0.018399236723780632
6,0,0,1,8,6.756413459777832,-0.8588776588439941,5.897535800933838,0.0,-0.019312765449285507
7,0,0,1,9,5.897535800933838,-0.8575745820999146,5.039961218833923,0.0,-0.017918279394507408
8,0,0,1,10,5.039961218833923,-0.7322537899017334,4.30770742893219,0.0,-0.014754287898540497
9,0,0,1,11,4.30770742893219,-0.4713900089263916,3.8363174200057983,0.0,-0.010860193520784378
10,0,0,1,12,3.8363174200057983,-0.4258228540420532,3.410494565963745,0.0,-0.009770042262971401
11,0,0,1,13,3.410494565963745,-0.3702659606933594,3.0402286052703857,0.0,-0.008735334500670433
12,0,0,1,14,3.0402286052703857,-0.3068588972091675,2.7333697080612183,0.0,-0.007815015502274036
13,0,0,1,15,2.7333697080612183,-0.5671297311782837,2.1662399768829346,0.0,-0.009182345122098923
14,0,0,1,16,2.1662399768829346,-0.6661601066589355,1.500079870223999,0.0,-0.009337821044027805
15,0,0,1,17,1.500079870223999,-0.693326473236084,1.0,0.0,-0.0089070163667202
16,0,0,1,18,1.0,-0.7986295223236084,1.0,0.0,-0.010478091426193714
17,0,0,1,19,1.0,-0.47011756896972656,1.0,0.0,-0.006310105323791504
18,0,0,1,20,1.0,-0.10508179664611816,1.0,0.0,-0.0042104218155145645
19,0,0,2,1,1.0,-0.19743943214416504,1.0,0.0,-0.004489823244512081
20,0,0,2,2,1.0,-0.15465915203094482,1.0,0.0,-0.004339194390922785
21,0,0,2,3,1.0,-0.4632374048233032,1.0,0.0,-0.006245888769626617
22,0,0,2,4,1.0,-0.4513115882873535,1.0,0.0,-0.006136821582913399
23,0,0,2,5,1.0,-0.33939337730407715,1.0,0.0,-0.005251878872513771
24,0,0,2,6,1.0,-0.20081114768981934,1.0,0.0,-0.004503251053392887
25,0,0,2,7,1.0,-0.1265634298324585,1.0,0.0,-0.004260182846337557
26,0,0,2,8,1.0,-0.09402823448181152,1.0,0.0,-0.004188413266092539
27,0,0,2,9,1.0,-0.21958231925964355,1.0,0.0,-0.004582163877785206
28,0,0,2,10,1.0,-0.21594834327697754,1.0,0.0,-0.00456633698195219
29,0,0,2,11,1.0,-0.1542750597000122,1.0,0.0,-0.004338007885962725
30,0,0,2,12,1.0,-0.133355975151062,1.0,0.0,-0.0042778379283845425
31,0,0,2,13,1.0,-0.14390456676483154,1.0,0.0,-0.004307085182517767
32,0,0,2,14,1.0,-0.2002096176147461,1.0,0.0,-0.004500838927924633
33,0,0,2,15,1.0,-0.02275407314300537,1.0,0.0,-0.004105177707970142
34,0,0,2,16,1.0,0.06103014945983887,1.0610301494598389,0.0,-0.00423489511013031
35,0,0,2,17,1.0610301494598389,-0.19105255603790283,1.0,0.0,-0.004465010948479176
36,0,0,2,18,1.0,-0.17724859714508057,1.0,0.0,-0.004414170514792204
37,0,0,2,19,1.0,-0.19987237453460693,1.0,0.0,-0.004499489441514015
38,0,0,2,20,1.0,-0.28616833686828613,1.0,0.0,-0.004918923135846853
