envId,formationType,threshold,mean_exceedance,mean_reward,rows
0,0,2,0.0,-0.0045000000000000005,2400
0,1,2,0.0,-0.0045000000000000005,2400
0,2,2,0.0,-0.0045000000000000005,2400
1,0,15,0.05103070175438596,-0.018261426592797784,2400
1,1,10,0.05767543859649122,-0.013505309325946447,2400
1,2,10,0.06686403508771929,-0.0134255540166205,2400
2,0,25,0.06432017543859649,-0.029171629732225302,2400
2,1,15,0.08679824561403508,-0.02214427516158818,2400
2,2,20,0.04491228070175438,-0.022355493998153283,2400
3,0,35,0.10223684210526315,-0.04346975992613111,2400
3,1,25,0.09296052631578947,-0.03246872114496768,2400
3,2,30,0.077609649122807,-0.03447010618651893,2400
