envId,envName,count,mean,std,min,median,max
0,Perfect,7199,-0.0036795384959260446,0.0006213266583773503,-0.0315269194543361,-0.0035978779196739,-0.003500000340864
1,Open,7200,-0.01704303616230992,0.014515500611258208,-0.6700184345245361,-0.0126972035504877,-0.0074781449511647
2,Suburban,7200,-0.02466208143845299,0.012256294008821954,-0.2438054233789444,-0.02035543788224455,-0.014255684800446
3,DenseUrban,7201,-0.03794501692397054,0.014121619226992413,-0.3363579213619232,-0.0373240001499652,-0.0245697479695081
